Wavalength (Ang)	Flux (x10^-17 erg/cm^2/s/Ang)
3507.8252014	4.4597087
3508.6341923	3.0350073
3509.4413791	5.7766469
3510.2507309	3.9582463
3511.0582785	3.5854724
3511.8658261	5.4578543
3512.6755388	5.4118096
3513.4838081	4.9392014
3514.2938815	3.5741643
3515.1025116	2.6053747
3515.9129459	5.1166448
3516.7219369	6.6444774
3517.5309278	2.2585179
3518.3420838	-1.5140835
3519.1514356	4.5029452
3519.9629524	7.3559439
3520.7726650	2.6394002
3521.5845427	6.0858873
3522.3946161	3.8991680
3523.2050504	3.4282049
3524.0172889	5.3892018
3524.8280840	2.5853477
3525.6410441	3.3971546
3526.4522001	3.5674443
3527.2651602	4.5821667
3528.0766770	4.7344383
3528.8881938	5.0555142
3529.7018756	2.3819360
3530.5141141	3.6268774
3531.3281568	5.3735702
3532.1403952	1.2728793
3532.9551595	1.9445686
3533.7677588	4.1697912
3534.5807190	3.3006030
3535.3958441	1.2126188
3536.2091651	1.1544039
3537.0246511	3.1762658
3537.8383329	2.8804263
3538.6541797	2.9867011
3539.4682223	3.5421608
3540.2822650	2.5410360
3541.0988334	2.6817221
3541.9132369	4.7128065
3542.7301662	3.7342572
3543.5452914	5.8525049
3544.3622207	2.3000607
3545.1777067	5.4181597
3545.9931926	4.2606491
3546.8108436	1.1820395
3547.6270513	6.9072591
3548.4450631	4.3675248
3549.2612707	7.2562239
3550.0796434	8.3237960
3550.8965727	3.3021653
3551.7131412	6.3006653
3552.5322355	6.2154073
3553.3495257	3.2699630
3554.1689808	3.7645231
3554.9866318	4.0963936
3555.8064478	4.4480282
3556.6244596	2.6579252
3557.4424714	3.7449934
3558.2630091	6.5689715
3559.0813817	4.8864549
3559.9022802	2.4919700
3560.7210137	4.7850153
3561.5422731	5.4722035
3562.3617282	1.9099176
3563.1811834	2.8082701
3564.0028035	2.5124344
3564.8226195	3.8986070
3565.6446005	2.4777389
3566.4647774	0.1316564
3567.2874800	3.5610808
3568.1080177	1.2964155
3568.9307204	-0.4320499
3569.7519797	2.4791682
3570.5728782	6.8063369
3571.3963025	6.9795249
3572.2179227	5.7316138
3573.0417078	1.8475970
3573.8636888	2.8379166
3574.6878349	2.4038762
3575.5101767	4.5556283
3576.3328794	0.8875050
3577.1573862	7.5862581
3577.9804497	6.0874573
3578.8053174	1.3681582
3579.6287417	3.5081215
3580.4543311	4.2496368
3581.2777554	5.4090244
3582.1019014	4.6244174
3582.9278516	-0.5155783
3583.7519976	-0.2812906
3584.5783086	3.0959528
3585.4031763	4.0623115
3586.2298481	5.7068787
3587.0547158	5.6544276
3587.8799443	4.1231760
3588.7073378	2.8111837
